Tipo,Denominação,"Código Postal",Descritivo
LOJA,"CTT VIANA DO ALENTEJO",7091-909,"VIANA DO ALENTEJO"
LOJA,"CTT ESTREMOZ",7101-909,ESTREMOZ
LOJA,"CTT BORBA",7151-909,BORBA
LOJA,"CTT BORBA",7151-911,BORBA
LOJA,"CTT BORBA",7151-912,BORBA
LOJA,"CTT BORBA",7151-913,BORBA
LOJA,"CTT BORBA",7151-914,BORBA
LOJA,"CTT BORBA",7151-915,BORBA
PC,BENCATEL,7161-908,BENCATEL
LOJA,"CTT VILA VIÇOSA",7161-909,"VILA VIÇOSA"
LOJA,"CTT REDONDO",7171-909,REDONDO
LOJA,"CTT REGUENGOS DE MONSARAZ",7201-909,"REGUENGOS DE MONSARAZ"
LOJA,"CTT PORTEL",7221-909,PORTEL
LOJA,"CTT BARRANCOS",7231-909,BARRANCOS
LOJA,"CTT MOURÃO",7241-909,MOURÃO
LOJA,"CTT ALANDROAL",7251-909,ALANDROAL
LOJA,"CTT PORTALEGRE",7301-901,PORTALEGRE
LOJA,"CTT PORTALEGRE",7301-954,PORTALEGRE
LOJA,"CTT PORTALEGRE",7301-959,PORTALEGRE
LOJA,"CTT CASTELO DE VIDE",7321-909,"CASTELO DE VIDE"
PC,BEIRÃ,7331-908,BEIRÃ
LOJA,"CTT MARVÃO",7331-909,MARVÃO
LOJA,"CTT ARRONCHES",7341-909,ARRONCHES
LOJA,"CTT ELVAS",7351-901,ELVAS
LOJA,"CTT ELVAS",7351-902,ELVAS
LOJA,"CTT ELVAS",7351-903,ELVAS
LOJA,"CTT ELVAS",7351-904,ELVAS
LOJA,"CTT ELVAS",7351-905,ELVAS
LOJA,"CTT ELVAS",7351-906,ELVAS
LOJA,"CTT ELVAS",7351-953,ELVAS
LOJA,"CTT CAMPO MAIOR",7371-909,"CAMPO MAIOR"
LOJA,"CTT CAMPO MAIOR",7371-911,"CAMPO MAIOR"
LOJA,"CTT CAMPO MAIOR",7371-912,"CAMPO MAIOR"
LOJA,"CTT CAMPO MAIOR",7371-913,"CAMPO MAIOR"
LOJA,"CTT PONTE DE SOR",7401-909,"PONTE DE SOR"
PC,MONTARGIL,7426-909,MONTARGIL
LOJA,"CTT CRATO",7431-909,CRATO
LOJA,"CTT ALTER DO CHÃO",7441-909,"ALTER DO CHÃO"
LOJA,"CTT MONFORTE",7451-909,MONFORTE
PC,"CABEÇO DE VIDE",7461-908,"CABEÇO DE VIDE"
LOJA,"CTT FRONTEIRA",7461-909,FRONTEIRA
LOJA,"CTT SOUSEL ",7471-909,SOUSEL
LOJA,"CTT AVIS",7481-909,AVIS
LOJA,"CTT MORA",7491-909,MORA
LOJA,"CTT VILA NOVA DE SANTO ANDRÉ",7501-909,"VILA NOVA DE SANTO ANDRÉ"
LOJA,"CTT SINES",7521-901,SINES
LOJA,"CTT SINES",7521-902,SINES
LOJA,"CTT SINES",7521-903,SINES
LOJA,"CTT SINES",7521-904,SINES
LOJA,"CTT SINES",7521-952,SINES
LOJA,"CTT SINES",7521-953,SINES
LOJA,"CTT SINES",7521-954,SINES
LOJA,"CTT SANTIAGO DO CACÉM",7541-909,"SANTIAGO DO CACÉM"
PC,"CERCAL DO ALENTEJO",7556-909,"CERCAL DO ALENTEJO"
PC,ALVALADE,7566-908,ALVALADE
